country,production_tons,production_pp_kg,acreage_hectare,yield_kg_hc
China,21482971,15.413,"415,656","51,684.50"
Uzbekistan,2769613,84.817,"38,922","71,158"
United States,2259000,6.892,"32,210","70,133.50"
Russian Federation,1558866,10.613,"48,702","32,008.30"
Ukraine,869450,20.572,"43,000","20,219.80"
United Kingdom,824731,12.488,"14,061","58,653.80"
Germany,791110,9.561,"13,730","57,619.10"
Indonesia,698880,2.637,"42,895","16,292.80"
Poland,678300,17.649,"22,500","30,146.70"
Turkey,666270,8.245,"11,311","58,904.60"
Netherlands,615830,35.698,"9,910","62,142.30"
Kazakhstan,604258,33.069,"20,955","28,836"
Japan,588362,4.651,"17,474","33,670.70"
India,575630,0.431,"37,155","15,492.70"
France,534240,7.939,"12,550","42,568.90"
Pakistan,504425,2.499,"29,187","17,282.50"
Italy,492220,8.144,"11,080","44,424.20"
Algeria,419534,9.861,"17,469","24,015.90"
Morocco,412219,11.854,"13,476","30,589.10"
Spain,384300,8.236,"6,670","57,616.20"
Tajikistan,369898,41.417,"8,601","43,006.40"
Canada,360195,9.679,"7,943","45,347.50"
Mexico,353750,2.836,"11,750","30,106.40"
Iran,337614,4.129,"11,577","29,162.50"
Kenya,329025,6.458,"8,627","38,139"
Belarus,325678,34.361,"9,490","34,318"
Belgium,322300,28.23,"5,630","57,246.90"
Australia,314557,12.557,"5,067","62,079.50"
Argentina,285978,6.427,"9,039","31,638.20"
Colombia,257023,5.148,"10,200","25,198.30"
Israel,252776,28.376,"3,231","78,234.60"
Egypt,235191,2.412,"7,489","31,404.90"
Nigeria,234102,1.186,"26,573","8,809.80"
Tunisia,233443,20.395,"11,001","21,220.20"
South Africa,225269,3.902,"7,609","29,605.60"
Peru,191557,6.132,"7,512","25,500.10"
Chile,184866,10.519,"3,952","46,777.80"
Kyrgyzstan,182133,28.867,"7,958","22,886.80"
Venezuela,173816,5.461,"6,466","26,881.50"
Romania,117110,5.998,"8,240","14,212.40"
Austria,108180,12.24,"1,880","57,542.60"
Sweden,106730,10.493,"1,710","62,415.20"
Denmark,105020,18.138,"2,250","46,675.60"
Taiwan,103898,4.407,"2,064","50,338.20"
Guatemala,101633,5.874,"3,337","30,456.40"
Portugal,91570,8.898,"1,720","53,238.40"
Sri Lanka,80767,3.766,"3,553","22,732.10"
Finland,77340,14.016,"1,840","42,032.60"
New Zealand,75791,15.464,"1,727","43,885.90"
Republic of Korea,73833,1.43,"2,183","33,821.80"
Philippines,73663,0.692,"5,450","13,516.10"
Sudan,71779,1.759,"18,001","3,987.50"
Turkmenistan,71717,12.256,"2,130","33,670"
Hungary,71400,7.307,"1,650","43,272.70"
Switzerland,69941,8.235,"2,189","31,951.10"
Bolivia,69262,6.125,"5,155","13,435.90"
Niger,53823,2.507,"2,411","22,323.90"
Ireland,52990,10.91,790,"67,075.90"
Mongolia,50375,15.625,"6,533","7,710.90"
Norway,49282,9.277,"1,823","27,033.50"
Dominican Republic,48966,4.77,"2,042","23,979.40"
Lithuania,45300,16.174,"1,650","27,454.50"
United Arab Emirates,44731,4.688,"3,360","13,312.80"
