point_id,sex,age,age.group,dob,lat,long,region,bread,furniture,footwear,clothing,meal,group,frozen,prank,gum,walkway,foot.cut,class.farce,for.more,sauce.source,one.gone,book.spook,fur.bear,pour.poor,eight.ate,singer.finger,mute.moot,spa.spar,thin.fin,give.it.me,I.done.it,look.at.them,things.what,not.got.it,you.was,neither.me
1,female,22,21 to 40,1992,53.40450150482358,-3.063882568476057,North West,roll,couch,NA,trousers,tea,you guys,NA,NA,NA,NA,rhyme,NA,rhyme,don't rhyme,rhyme,don't rhyme,rhyme,same,different,don't rhyme,different,same,different,c,a,NA,a,NA,b,NA
2,female,24,21 to 40,1989,50.45732497455192,-3.7307884282736583,South West,roll,NA,pumps,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,b,c,b,b,NA,NA,NA
3,male,22,21 to 40,1991,50.35081561723552,-3.7374344933806922,South West,roll,NA,plimsolls,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,NA,a,d,d,d,NA,NA,NA
4,male,87,> 80,1927,57.13259156551581,-2.0738659954714684,Scotland,"bap, muffin, roll","couch, sofa",NA,trousers,"dinner, supper",you,NA,NA,NA,NA,don't rhyme,NA,don't rhyme,don't rhyme,don't rhyme,rhyme,don't rhyme,different,different,don't rhyme,different,same,same,c,c,NA,c,NA,c,NA
5,male,17,< 20,1997,57.124336841886965,-2.1268705262348284,Scotland,bun,settee,NA,trousers,supper,yous,NA,NA,NA,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,rhyme,don't rhyme,same,same,don't rhyme,different,different,same,e,e,NA,e,NA,e,NA
6,female,22,21 to 40,1991,50.423134968795004,-3.7742210775920344,South West,roll,NA,other (trainers),trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,NA,c,d,d,d,NA,NA,NA
7,male,34,21 to 40,1980,57.182475575909514,-2.166946013920992,Scotland,bap,sofa,NA,trousers,tea,"you guys, you lot, yous",NA,NA,NA,NA,don't rhyme,NA,don't rhyme,don't rhyme,don't rhyme,rhyme,don't rhyme,different,same,don't rhyme,different,different,same,c,c,NA,c,NA,c,NA
8,female,21,21 to 40,1992,50.542838202356435,-4.8208766182616625,South West,roll,NA,plimsolls,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,d,b,d,NA,NA,NA
9,female,66,61 to 80,1948,57.19041487822439,-2.1243928780619923,Scotland,bap,settee,NA,trousers,tea,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,rhyme,rhyme,rhyme,don't rhyme,different,same,don't rhyme,different,different,same,a,c,NA,c,NA,c,NA
10,male,62,61 to 80,1951,50.60482916461226,-2.458591531474554,South West,roll,NA,plimsolls,trousers,"dinner, supper",you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,b,b,b,c,NA,NA,NA
11,male,36,21 to 40,1977,50.675151127381945,-3.577256404183608,South West,roll,NA,plimsolls,trousers,tea,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,NA,c,b,c,b,NA,NA,NA
12,male,21,21 to 40,1992,50.701983367392806,-1.9198185112939263,South West,roll,NA,pumps,trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,rhyme,different,same,NA,c,c,c,c,NA,NA,NA
13,female,18,< 20,1996,57.27982105072436,-2.100511129263658,Scotland,roll,sofa,NA,trousers,"dinner, tea","folks, you guys, yous",NA,NA,NA,NA,don't rhyme,NA,rhyme,don't rhyme,don't rhyme,rhyme,don't rhyme,different,same,rhyme,different,different,different,d,a,NA,e,NA,c,NA
14,male,21,21 to 40,1993,57.149550484869714,-2.079553401672642,Scotland,bap,sofa,NA,trousers,dinner,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,don't rhyme,rhyme,rhyme,don't rhyme,different,same,don't rhyme,different,different,different,d,b,NA,b,NA,b,NA
15,male,62,61 to 80,1951,50.79138024497081,-1.7244837452624409,South West,roll,NA,other (deckers),trousers,dinner,you,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,don't rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,d,d,d,NA,NA,NA
16,female,51,41 to 60,1963,57.15440426961894,-2.11436359591446,Scotland,bap,sofa,NA,trousers,dinner,you lot,NA,NA,NA,NA,don't rhyme,NA,rhyme,don't rhyme,don't rhyme,don't rhyme,don't rhyme,different,same,don't rhyme,different,different,same,d,d,NA,e,NA,d,NA
17,male,21,21 to 40,1992,50.83857113860032,-0.3797897634334274,South East,roll,NA,plimsolls,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,NA,rhyme,don't rhyme,don't rhyme,same,same,don't rhyme,different,same,NA,c,b,b,e,NA,NA,NA
18,female,48,41 to 60,1966,57.15468373552213,-2.136150233610633,Scotland,roll,sofa,NA,trousers,dinner,you guys,NA,NA,NA,NA,don't rhyme,NA,rhyme,don't rhyme,don't rhyme,don't rhyme,don't rhyme,different,same,don't rhyme,different,different,same,e,e,NA,e,NA,e,NA
