country,avg_elevation
Bhutan,3280
Nepal,3265
Tajikistan,3186
Kyrgyzstan,2989
Lesotho,2161
Andorra,1996
Afghanistan,1884
Chile,1871
China,1840
Armenia,1792
Greenland,1792
Rwanda,1598
Mongolia,1580
Peru,1555
Burundi,1504
Georgia,1432
Switzerland,1350
Ethiopia,1330
Iran,1305
Lebanon,1250
Bolivia,1192
Taiwan,1150
Turkey,1141
Namibia,1141
Zambia,1138
Ecuador,1117
Angola,1112
Mexico,1111
Uganda,1100
Montenegro,1086
South Africa,1034
Tanzania,1018
Botswana,1013
Yemen,999
Zimbabwe,961
Jordan,920
Austria,910
Morocco,909
Pakistan,900
Eritrea,853
Algeria,800
Kosovo,800
Malawi,779
Kenya,762
United States,760
Guatemala,759
Costa Rica,746
Macedonia,741
Democratic Republic of the Congo,726
Lao PDR,710
Albania,708
Myanmar,702
Honduras,684
Papua New Guinea,667
Cameroon,667
Saudi Arabia,665
Spain,660
Central African Republic,635
India,621
Russian Federation,600
Argentina,595
Colombia,593
Equatorial Guinea,577
Sudan,568
Iceland,557
Chad,543
Malaysia,538
Italy,538
Syria,514
Israel,508
Bosnia and Herzegovina,500
Greece,498
Slovenia,492
Canada,487
Brunei Darussalam,478
Niger,474
Serbia,473
Guinea,472
Bulgaria,470
Haiti,470
Norway,460
Slovakia,458
Venezuela,450
Uzbekistan,450
El Salvador,442
Madagascar,442
Philippines,442
Japan,438
Czech Republic,430
Republic of the Congo,430
Djibouti,430
Dominican Republic,424
Libya,423
Romania,414
Somalia,410
Dem. Rep. Korea,400
Vietnam,398
Vanuatu,398
New Zealand,388
Kazakhstan,387
Azerbaijan,384
Nigeria,380
Gabon,377
France,375
Portugal,372
Indonesia,367
Panama,360
Mozambique,345
Mali,343
Jamaica,340
Croatia,331
Australia,330
Luxembourg,325
Egypt,321
Brazil,320
Sweden,320
Iraq,312
Oman,310
eSwatini,305
Nicaragua,298
Burkina Faso,297
Thailand,287
Republic of Korea,282
Sierra Leone,279
Mauritania,276
Benin,273
Germany,263
Côte d'Ivoire,250
Suriname,246
Tunisia,246
Liberia,243
Togo,236
Turkmenistan,230
Sri Lanka,228
Guyana,207
Ghana,190
Belgium,181
Paraguay,178
Ukraine,175
Poland,173
Belize,173
Belarus,170
Finland,164
United Arab Emirates,149
Hungary,143
Moldova,139
Cambodia,126
Ireland,118
Lithuania,110
Uruguay,109
Cuba,108
Kuwait,108
Cyprus,91
Latvia,87
Bangladesh,85
Trinidad and Tobago,83
United Kingdom,75
Guinea-Bissau,70
Senegal,69
Estonia,61
The Gambia,34
Denmark,34
Netherlands,30
Qatar,28
Singapore,15
Marshall Islands,2
Kiribati,2
Tuvalu,1.8
Maldives,1.5
