id,date,tweet,lat,long,region
UK00000439,20/01/2015,"""@user struggling to break them down again, we haven't been able to master breaking down Chelsea's deep def #LFCvsCFC #lfc""",55.960511,-3.167583,sco
UK00001568,20/01/2015,This 'Can' business is annoying @user #LFCvsCFC,51.007091,-0.930736,se
UK00003907,20/01/2015,You can see why his name is Hazard. He spends so much time on the floor he is a tripping hazard! #LFCvCFC #LFC #CapitalOneCup,51.479934,-1.61818,sw
UK00004381,20/01/2015,A goal is coming here for #LFC #LFCvsCFC,53.196708,-2.894173,nw
UK00004994,20/01/2015,Chelsea players trying to ref the game. #LFC,53.671859,-1.360851,yo
UK00005452,20/01/2015,Breaking news ! Chelsea drop big to sign @user  #lfc,51.976788,-0.220439,eoe
UK00006165,20/01/2015,"""Sterling is wasted up front, we need him running at defenders from deeper positions. Get Borini\/Lambo on. #lfc""",51.595537,-1.810184,sw
UK00006573,20/01/2015,"""Moreno told to play high as Chelsea not attacking down right, he needs to be more aggressive on the ball though #LFC""",52.13996,-0.451013,eoe
UK00006777,20/01/2015,Hate to say it but #LFC could get something outta this game. Better team all 2nd half. Pity ref is a melt. Can't stand him,51.388216,-0.074378,lon
UK00007044,20/01/2015,Fucking get in!!!!!  #lfc,57.188962,-2.117146,sco
UK00007161,20/01/2015,Stunning goal #sterling #lfc,53.475886,-2.734966,nw
UK00007236,20/01/2015,Wave after wave of Red men battering the blue bus! #LFC Sterling!!!,53.627047,-2.217591,nw
UK00007382,20/01/2015,@user . Well let's face it Jeremy.. Other than a dodgy penalty Chelsea have done nothing worth focussing on.. 1-1 ha ha ha#LFC,53.483086,-3.041441,nw
UK00007435,20/01/2015,"""Sterling you are a fucking genius, really well deserved Liverpool goal #LFC""",53.820141,-1.565826,yo
UK00007836,20/01/2015,Whoopdeedo ya plassy fake rival engineering Kants!!!!!! #lfc,54.219827,-5.892976,ni
UK00007973,20/01/2015,Come fuckin on lad.  #LFC #YNWA,53.422797,-2.720224,nw
