country,arable_land_prop,crop_cover_prop,forest_cover_prop
Afghanistan,11.9,0.3,1.9
Albania,22.3,3.1,28.8
Algeria,3.2,0.4,0.8
American Samoa,16,3.8,85.8
Andorra,1.7,NA,34
Angola,3.9,0.3,53.9
Anguilla,NA,NA,61.1
Antigua and Barbuda,9.1,2.3,18.6
Argentina,11.9,0.4,10.5
Armenia,15.6,2.1,11.5
Aruba,11.1,NA,2.3
Australia,4,0,17.4
Austria,16.1,0.8,47.2
Azerbaijan,25.4,3.1,13.6
Bahamas,0.8,0.4,50.9
Bahrain,2,3.8,0.9
Bangladesh,61.2,6.4,14.5
Barbados,16.3,2.3,14.7
Belarus,28.1,0.5,43.1
Belgium,28.3,0.8,22.8
Belize,3.9,1.4,56.5
Benin,24.8,5.3,28.2
Bermuda,5.6,NA,18.5
Bhutan,2.5,0.2,71.4
Bolivia,4.2,0.2,47.1
"Bonaire, St. Eustatius & Saba",NA,NA,5.9
Bosnia and Herzegovina,19.8,2.1,42.7
Botswana,0.5,0,27.1
Brazil,6.7,0.9,59.6
British Virgin Islands,6.7,6.7,24.1
Brunei Darussalam,0.8,1.1,72.1
Bulgaria,32,1.4,35.7
Burkina Faso,21.9,0.4,22.9
Burundi,46.7,13.6,10.9
Cabo Verde,12.4,1,11.3
Cambodia,22,1.1,46.6
Cameroon,13.1,3.3,43.1
Canada,4.3,0,38.7
Cayman Islands,0.8,2.1,53
Central African Republic,2.9,0.1,35.8
Chad,4.1,0,3.5
Channel Islands,18.3,NA,5.2
Chile,1.6,0.7,24.3
China,12.7,1.7,23.1
"China, Hong Kong SAR",2.9,1,NA
Colombia,5.4,3.5,53.5
Comoros,35.5,26.9,17.9
Republic of the Congo,1.6,0.2,64.3
Cook Islands,4.2,2.1,65
Costa Rica,5,6.3,59.1
Côte d'Ivoire,11,14.2,9.3
Croatia,14.7,1.3,34.6
Cuba,29,6.3,31.2
Curaçao,NA,NA,0.2
Cyprus,10.4,3,18.7
Czech Republic,32.2,0.6,34.7
Dem. Rep. Korea,18.9,2.5,50.3
