token_id,speaker,time,vowel,word,duration,F1_mid,F2_mid,F3_mid,F1_avg_all,F2_avg_all,F3_avg_all,F1_avg_third_2,F2_avg_third_2,F3_avg_third_2,F1_avg_third_1,F2_avg_third_1,F3_avg_third_1,F1_avg_third_3,F2_avg_third_3,F3_avg_third_3,F1_05,F1_10,F1_15,F1_20,F1_25,F1_30,F1_35,F1_40,F1_45,F1_50,F1_55,F1_60,F1_65,F1_70,F1_75,F1_80,F1_85,F1_90,F1_95,F2_05,F2_10,F2_15,F2_20,F2_25,F2_30,F2_35,F2_40,F2_45,F2_50,F2_55,F2_60,F2_65,F2_70,F2_75,F2_80,F2_85,F2_90,F2_95,F3_05,F3_10,F3_15,F3_20,F3_25,F3_30,F3_35,F3_40,F3_45,F3_50,F3_55,F3_60,F3_65,F3_70,F3_75,F3_80,F3_85,F3_90,F3_95
BillyG_1,BillyG,2.61,E,fed,110,591.3750565,1455.806055,2637.826135,589.0213892,1557.469333,2663.914924,577.4262481,1461.55235,2657.090335,661.4560837,1640.11923,2694.693989,528.181836,1570.736421,2639.960447,895.3286565,501.3732982,538.9707081,578.4979996,560.2767757,554.4739065,555.54954969999994,563.3967128,582.7464756,591.3750565,591.2296797,586.1584986,563.8759625,556.5308435,549.9058998,540.3435357,511.9878019,501.5515514,509.0298179,2177.659744,1711.700358,1410.567566,1391.433611,1393.010463,1370.965215,1427.226656,1451.301402,1447.141244,1455.806055,1478.373266,1488.031612,1479.124471,1489.528627,1545.166486,1559.884768,1612.622024,1646.893888,1598.086465,3027.482774,2619.813872,2591.290202,2535.96322,2516.519173,2515.357789,2560.202257,2583.748756,2605.656558,2637.826135,2679.347902,2735.274462,2809.36954,2833.417768,2686.195583,2651.997249,2604.869835,2548.372388,2539.002902
BillyG_2,BillyG,5.34,i:,tree,90,317.2477089,2075.809357,2648.397469,349.2785876,2083.184399,2621.891477,326.0951174,2068.65716,2646.03398,369.3230182,1994.183443,2532.416383,352.4176272,2186.712594,2687.224069,393.6683523,380.0014083,365.245243,358.879194,354.7546949,350.5061091,338.6450355,329.4635794,322.3401611,317.2477089,320.310758,324.5124501,334.2450714,360.7998766,363.8374451,355.4593266,339.8661658,344.2523764,349.805706,2005.356373,1990.077379,1992.433809,1994.400732,1988.849964,1981.501133,1995.141102,2029.308105,2059.942479,2075.809357,2091.367496,2104.364631,2120.866577,2155.339413,2209.727705,2230.06705,2203.579998,2189.225011,2162.838969,2445.560541,2470.587611,2532.204562,2564.102265,2596.406794,2622.685212,2610.213004,2617.853338,2632.295875,2648.397469,2664.783462,2672.322956,2675.538521,2683.323903,2687.346009,2684.369666,2674.661972,2683.244398,2698.210197
BillyG_3,BillyG,7.66,eI,ate,240,423.4958223,2020.854558,2753.933584,424.9090834,1981.850957,2866.869607,431.1361313,2041.617333,2778.788518,516.9706646,1644.385703,2897.788438,326.6204544,2259.549834,2924.031865,435.0722038,549.8168676,527.0550558,528.0421507,548.1584283,544.2590218,528.1611711,512.5456164,480.3258745,423.4958223,386.4363298,357.6934956,337.410443,321.7589692,316.8168557,317.099755,376.1317838,338.342305,306.552608,1803.868991,1825.116884,1699.120745,1681.124063,1725.713527,1745.866384,1814.967007,1886.661746,2054.266859,2020.854558,2128.260979,2157.347753,2226.709207,2211.086749,2213.658526,2232.347933,2197.852813,2283.174639,2422.945005,3109.494351,2936.695717,2945.685489,2796.579652,2824.791672,2794.957048,2798.964861,2797.305105,2788.030549,2753.933584,2772.981315,2743.903641,2788.484026,2800.127866,2812.254945,2702.75039,2754.656238,3179.011691,2999.805465
BillyG_4,BillyG,10.23,i:,feed,150,331.0028994,2319.719105,2835.298467,435.9744319,2235.103901,2787.656503,338.4562855,2306.886425,2819.593515,645.8356544,2196.015214,2784.494957,323.6313557,2202.410066,2758.881038,1488.942694,370.4298288,394.0920872,392.3478787,384.7996612,381.6539912,370.0823022,348.353173,341.7178553,331.0028994,330.594888,327.3846319,323.3202711,323.9839984,318.1179117,324.105601,323.4161134,328.0101853,322.0188131,2486.181917,1995.586629,1988.460133,2123.148388,2182.829993,2177.125014,2200.570934,2201.352662,2220.688241,2319.719105,2410.414578,2423.385159,2358.180506,2274.506429,2286.36761,2259.371977,2192.638066,2148.128478,2095.514826,3252.760364,2820.640273,2547.867548,2590.965803,2631.106507,2679.294246,2716.557567,2771.420145,2812.879496,2835.298467,2863.259981,2864.414258,2856.529778,2818.727556,2809.139263,2786.037708,2748.234414,2723.127275,2693.903785
BillyG_5,BillyG,12.83,eI,sleigh,86.87507246,516.8689538,1892.608291,2575.08093,508.1831685,1914.276591,2595.753076,514.7192062,1884.637145,2571.583297,597.6631773,1742.541271,2551.640513,412.1671221,2115.651357,2664.035419,617.1228941,611.358955,606.4226399,597.6470797,584.2504344,563.1330749,546.3935252,533.3196825,524.0322613,516.8689538,508.8157173,496.3565048,475.8485136,452.8570156,428.4277358,412.2158529,400.7191716,393.4040225,388.1603183,1836.356812,1831.839619,1734.6640400000001,1678.974587,1679.350816,1692.962541,1743.388185,1815.805366,1873.081052,1892.608291,1906.539228,1943.86916,2014.627524,2081.637607,2133.776224,2125.330883,2135.450497,2157.077921,2101.240602,2529.915245,2530.820899,2546.146433,2559.363802,2568.756134,2578.522353,2581.154966,2579.220696,2578.595839,2575.08093,2568.944716,2558.977278,2558.18464,2569.544713,2596.359727,2607.490791,2662.549855,2750.926584,2766.00683
BillyG_6,BillyG,15.11,eI,wade,210,428.9199611,2169.714948,2669.679785,436.3346151,2059.807048,2727.252148,429.7699709,2174.4782059999998,2718.00215,551.1384453,1838.806835,2718.116537,328.0954291,2166.136103,2745.637758,573.8323114,580.5779827,565.4585531,551.2458036,531.0964993,510.2953191,496.0965327,484.5072734,466.6557445,428.9199611,392.6094582,380.7331128,359.9580348,351.4275765,354.3315005,342.6037228,320.1653338,295.0383257,299.0451479,1636.497405,1648.936597,1796.558441,1897.555085,2055.517347,2078.220893,2112.6352,2180.912276,2057.38984,2169.714948,2203.192594,2211.811056,2302.727334,2260.068369,2243.260974,2193.087279,2142.338798,2063.032631,2122.310396,2802.460941,2844.626062,2790.503984,2667.38078,2594.850938,2556.802879,2647.914114,2687.245985,2661.121203,2669.679785,2802.399575,2789.747419,2788.702808,2738.281193,2755.2713440000002,2725.937768,2734.989793,2718.697183,2765.149947
BillyG_7,BillyG,17.61,i:,heat,160,311.4762319,2303.738657,3009.865692,312.6460108,2280.011544,2995.693278,309.7721502,2281.878621,3004.980245,336.7351992,2233.039788,2885.909275,291.4306829,2325.116224,3096.190313,343.8825034,341.4914118,339.2428997,334.7014342,329.7654078,326.3941479,318.8840767,316.3126005,315.1090868,311.4762319,304.9400722,289.3711144,310.5248865,308.4423008,287.3325812,283.8928353,283.4623694,286.4235541,278.8670395,2292.983203,2214.854361,2182.02075,2209.220828,2211.956351,2241.36488,2254.681126,2228.732897,2260.903796,2303.738657,2260.55428,2266.728727,2383.71596,2334.765709,2324.705383,2254.417259,2255.210453,2456.061016,2367.222873,2925.990772,2851.33756,2847.516628,2857.158564,2848.320206,2881.230148,2910.633438,2912.284309,2948.439337,3009.865692,3064.367955,3146.063803,3042.326856,3061.864435,3161.597854,3086.066342,3059.718682,3122.55384,3099.332016
BillyG_8,BillyG,20.28,E,shed,120,563.7581916,1698.157442,2525.687791,579.0164758,1789.872342,2605.139242,563.7038752,1696.780166,2557.908443,621.5489662,2028.262483,2714.178016,551.7965859,1644.574376,2543.331268,646.9477146,439.851526,457.15442,482.872294,505.3257545,522.3153561,528.7020295,537.4227337,551.5331512,563.7581916,582.8461273,593.2727918,586.3597598,582.7802679,569.6993348,557.7638178,539.5490771,534.5349859,535.0418548,2168.720208,1967.308616,1944.366645,1930.809573,1894.861213,1847.008432,1790.884454,1737.061597,1721.925509,1698.157442,1659.948548,1641.690428,1639.127316,1645.846138,1627.691507,1618.594329,1621.878999,1638.850645,1687.909928,2804.130603,2577.40997,2598.620047,2593.046451,2577.978028,2604.54148,2629.206323,2623.531457,2569.605321,2525.687791,2520.241404,2520.743661,2521.263946,2513.404964,2499.323643,2505.85238,2545.271116,2565.419046,2602.017041
BillyG_9,BillyG,23.33,i:,need,170,345.0034152,2272.485686,2844.724477,345.3246463,2207.5090060000002,2811.88357,347.8170118,2249.155227,2837.915267,366.9147952,2136.973152,2798.860119,321.242132,2236.398638,2798.875324,355.0328954,337.1348481,387.8020923,388.8100921,388.2916657,378.3624386,374.9191428,365.5605383,360.3652105,345.0034152,340.590077,328.9291785,320.6338333,316.343241,317.744231,315.4641328,321.1946163,322.6583151,330.9155956,2229.36252,2051.232624,2056.784053,2099.530439,2140.012176,2177.122472,2197.928566,2223.070332,2244.26138,2272.485686,2259.929792,2282.907409,2252.366516,2251.487729,2238.581077,2235.036627,2234.253422,2217.411812,2214.420695,3174.776205,2521.626635,2646.484384,2695.322115,2716.486312,2735.364098,2785.042522,2799.422203,2811.466409,2844.724477,2879.980147,2875.498173,2861.930733,2845.943453,2825.160928,2801.995581,2813.385465,2793.45778,2721.806659
BillyG_10,BillyG,26.61,eI,freight,100,481.7554284,2011.871796,2707.839194,469.1046813,1904.886034,2682.310925,474.2979878,1944.867566,2681.580447,553.1085853,1638.914839,2558.093077,379.9074706,2130.875697,2807.259251,560.6702734,555.9364578,555.4767838,556.0480343,550.9515473,537.4955698,524.1764306,511.2993296,497.9021441,481.7554284,461.6928102,432.6769284,408.7776311,395.8615795,391.592248,369.052825,361.5069515,371.7577901,387.2415552,1587.144867,1600.326359,1617.72252,1632.759042,1657.670808,1730.472942,1778.672971,1845.711235,1935.389667,2011.871796,2010.641493,2010.011744,2013.484384,2025.723112,2052.553491,2122.484615,2151.092682,2178.280279,2215.830223,2494.643118,2538.46693,2567.186694,2581.879975,2599.892369,2606.132186,2622.741741,2644.307379,2670.852826,2707.839194,2706.393246,2695.572263,2731.060135,2801.276837,2827.378428,2738.54851,2740.490743,2807.926381,2893.442907
