target_id,speaker,sex,dob,city_born,lexset,word,start,end,pre_seg,fol_seg,F1,F2,F3
1,FredN,M,1955,Manchester,LOT,salford,5.045,5.125,S,L,543.8,1040.4,2255.8
2,FredN,M,1955,Manchester,LOT,not,18.837,18.947,N,T,569.6,1056.2,2265.2
3,FredN,M,1955,Manchester,KIT,in,19.458,19.488,T,N,446,1688.4,2563.7
4,FredN,M,1955,Manchester,FACE,they,20.167,20.198,DH,W,360,1337.7,2335.5
5,FredN,M,1955,Manchester,KIT,think,21.358,21.388,TH,NG,361.5,1619.5,2836.2
6,FredN,M,1955,Manchester,MOUTH,about,24.923,24.983,B,T,619.8,1095.6,3331.9
7,FredN,M,1955,Manchester,NURSE,thirty,25.133,25.204,TH,D,431.3,1443.6,2712.9
8,FredN,M,1955,Manchester,GOAT,ago,25.643,25.783,G,SP,483.8,1170.4,2257.3
9,FredN,M,1955,Manchester,FACE,neighbours,29.558,29.688,N,B,482.3,1683,2223.6
10,FredN,M,1955,Manchester,GOOSE,moved,32.728,32.799,M,V,369.3,1518.9,2025.4
11,FredN,M,1955,Manchester,DRESS,when,35.42,35.45,W,N,386.5,1003.3,2223.4
12,FredN,M,1955,Manchester,NORTH,broughton,37.091,37.231,R,T,622.1,937.7,3224.5
13,FredN,M,1955,Manchester,STRUT,uh,38.686,38.896,SP,P,561.7,1429.6,3048.1
14,FredN,M,1955,Manchester,DRESS,when,41.076,41.106,W,N,541.4,1225.5,2020.7
15,FredN,M,1955,Manchester,LOT,got,41.255,41.296,G,T,493.7,1298.6,1955.8
16,FredN,M,1955,Manchester,DRESS,semi,45.462,45.502,S,M,553.6,1429.9,3615.7
17,FredN,M,1955,Manchester,CHOICE,noisy,47.393,47.482,N,Z,375.4,853.6,1372
18,FredN,M,1955,Manchester,FLEECE,he,52.124,52.364,HH,G,236.1,1790.4,3673.4
19,FredN,M,1955,Manchester,LOT,got,52.563,52.664,G,T,517.1,1218,1992.5
20,FredN,M,1955,Manchester,PALM,partner,53.344,53.494,P,R,692.1,1219.9,2954.9
21,FredN,M,1955,Manchester,TRAP,had,54.418,54.478,HH,D,592.5,1195.3,2285.9
22,FredN,M,1955,Manchester,STRUT,one,60.638,60.668,W,N,336.5,1068.1,2226.1
23,FredN,M,1955,Manchester,GOAT,so,61.978,62.068,S,W,407.5,1079.7,2578.1
24,FredN,M,1955,Manchester,KIT,didn't,62.208,62.258,D,N,393.9,1578.8,3578.2
25,FredN,M,1955,Manchester,TRAP,yeah,64.554,64.643,Y,IH0,396.7,1746.2,2422.7
26,FredN,M,1955,Manchester,KIT,bit,65.743,65.793,B,T,427.8,1603.6,3864
27,FredN,M,1955,Manchester,STRUT,um,77.153,77.732,SP,M,693.6,1500.9,3097
28,FredN,M,1955,Manchester,PRICE,i,78.502,78.532,AE1,TH,699.5,1509,2349.4
29,FredN,M,1955,Manchester,KIT,think,78.632,78.663,TH,NG,453.9,1893.9,3885.2
30,FredN,M,1955,Manchester,STRUT,uh,80.374,80.613,SP,SP,592.3,1487.9,2448.7
31,FredN,M,1955,Manchester,FOOT,neighbourhood,82.003,82.094,HH,D,371.2,1218.6,1939.3
32,FredN,M,1955,Manchester,DRESS,then,83.96,83.99,DH,N,522.2,1343.5,2367.9
33,FredN,M,1955,Manchester,PRICE,arrived,84.581,84.75,ER0,V,667.5,1146.2,2162.5
